STATE,YEAR,TOTAL_FLIGHTS
New Jersey    ,2015,111394
New Jersey    ,2016,115783
New Jersey    ,2017,115968
New York      ,2013,135520
New York      ,2014,118943
New York      ,2015,120531
New York      ,2016,115772
New York      ,2017,112223
North Carolina,2013,148745
North Carolina,2014,112243
North Carolina,2015,109896
North Carolina,2016,110676
North Carolina,2017,113095
North Dakota  ,2013,6767
North Dakota  ,2014,5209
North Dakota  ,2015,6220
North Dakota  ,2016,3976
North Dakota  ,2017,3062
Ohio          ,2013,45870
Ohio          ,2014,37465
Ohio          ,2015,37813
Ohio          ,2016,34111
Ohio          ,2017,35633
Oklahoma      ,2013,23400
Oklahoma      ,2014,20723
Oklahoma      ,2015,17785
Oklahoma      ,2016,15695
Oklahoma      ,2017,14820
Oregon        ,2013,53674
Oregon        ,2014,53335
Oregon        ,2015,51635
Oregon        ,2016,58669
Oregon        ,2017,62666
Pennsylvania  ,2013,80996
Pennsylvania  ,2014,72835
Pennsylvania  ,2015,72115
Pennsylvania  ,2016,73164
Pennsylvania  ,2017,73194
Rhode Island  ,2013,15390
Rhode Island  ,2014,12152
Rhode Island  ,2015,12156
Rhode Island  ,2016,12687
Rhode Island  ,2017,13755
South Carolina,2013,16555
South Carolina,2014,13772
South Carolina,2015,13024
South Carolina,2016,14677
South Carolina,2017,13806
South Dakota  ,2013,7380
South Dakota  ,2014,6920
South Dakota  ,2015,5776
South Dakota  ,2016,4230
South Dakota  ,2017,4438
Tennessee     ,2013,59719
Tennessee     ,2014,55670
Tennessee     ,2015,52057
Tennessee     ,2016,51667
Tennessee     ,2017,55029
Texas         ,2013,286427
Texas         ,2014,278309
Texas         ,2015,260595
Texas         ,2016,196049
Texas         ,2017,181208
Utah          ,2013,112577
Utah          ,2014,108586
Utah          ,2015,105973
Utah          ,2016,108819
Utah          ,2017,111912
Vermont       ,2013,5619
Vermont       ,2014,4198
Vermont       ,2015,3326
Vermont       ,2016,4046
Vermont       ,2017,3274
Virginia      ,2013,73974
Virginia      ,2014,72525
Virginia      ,2015,80613
Virginia      ,2016,77802
Virginia      ,2017,74408
Washington    ,2013,103082
Washington    ,2014,108714
Washington    ,2015,121287
Washington    ,2016,132625
Washington    ,2017,137176
West Virginia ,2013,3692
West Virginia ,2014,3148
West Virginia ,2015,2609
West Virginia ,2016,2552
West Virginia ,2017,2011
Wisconsin     ,2013,35451
Wisconsin     ,2014,33654
Wisconsin     ,2015,32467
Wisconsin     ,2016,32575
Wisconsin     ,2017,30162
Wyoming       ,2013,3032
Wyoming       ,2014,3565
Wyoming       ,2015,3669
Wyoming       ,2016,3931
Wyoming       ,2017,3508
