year,state,value
2015,Vermont,6587
2015,Virginia,186789
2015,Washington,203750
2015,West Virginia,4844
2015,Wisconsin,82899
2015,Wyoming,12063
2016,Alabama,29943
2016,Alaska,39075
2016,Arizona,263359
2016,Arkansas,20413
2016,California,652647
2016,Colorado,363480
2016,Connecticut,35436
2016,Florida,443180
2016,Georgia,554845
2016,Hawaii,101137
2016,Idaho,31733
2016,Illinois,441189
2016,Indiana,59631
2016,Iowa,19343
2016,Kansas,15345
2016,Kentucky,41049
2016,Louisiana,87374
2016,Maine,12933
2016,Maryland,154936
2016,Massachusetts,203111
2016,Michigan,215917
2016,Minnesota,211217
2016,Mississippi,12560
2016,Missouri,130220
2016,Montana,21075
2016,Nebraska,35675
2016,Nevada,249131
2016,New Hampshire,11948
2016,New Jersey,183869
2016,New Mexico,13939
2016,New York,278479
2016,North Carolina,222211
2016,North Dakota,15721
2016,Ohio,87535
2016,Oklahoma,38516
2016,Oregon,97872
2016,Pennsylvania,151332
2016,Rhode Island,22690
2016,South Carolina,40322
2016,South Dakota,12201
2016,Tennessee,108625
2016,Texas,489212
2016,Utah,169120
2016,Vermont,7983
2016,Virginia,183111
2016,Washington,223699
2016,West Virginia,4751
2016,Wisconsin,77781
2016,Wyoming,8355
2017,Alabama,15058
2017,Alaska,21923
2017,Arizona,99514
2017,Arkansas,9917
2017,California,448719
2017,Colorado,136895
2017,Connecticut,16181
2017,Florida,325795
2017,Georgia,165020
2017,Hawaii,56017
2017,Idaho,18194
2017,Illinois,201020
2017,Indiana,33755
2017,Iowa,13504
2017,Kansas,8817
2017,Kentucky,27011
2017,Louisiana,42733
2017,Maine,6621
2017,Maryland,61388
2017,Massachusetts,84529
2017,Michigan,95332
2017,Minnesota,86509
2017,Mississippi,6028
2017,Missouri,74917
2017,Montana,17031
2017,Nebraska,18482
2017,Nevada,98323
2017,New Hampshire,4784
2017,New Jersey,66632
2017,New Mexico,14236
2017,New York,158804
2017,North Carolina,108569
2017,North Dakota,9972
2017,Ohio,55199
2017,Oklahoma,21668
2017,Oregon,44651
2017,Pennsylvania,82680
2017,Rhode Island,10990
2017,South Carolina,24697
2017,South Dakota,8323
2017,Tennessee,57196
2017,Texas,287047
2017,Utah,61638
2017,Vermont,3262
2017,Virginia,106237
2017,Washington,94574
2017,West Virginia,1717
2017,Wisconsin,46095
2017,Wyoming,7292
