YEAR,ORIGIN_STATE_NM,DEST_STATE_NM,TOTAL_FLIGHTS
2013,Louisiana,Florida,6856
2013,Louisiana,Georgia,20768
2013,Louisiana,Illinois,3401
2013,Louisiana,Kentucky,587
2013,Louisiana,Louisiana,1
2013,Louisiana,Maryland,1963
2013,Louisiana,Massachusetts,721
2013,Louisiana,Michigan,1247
2013,Louisiana,Minnesota,833
2013,Louisiana,Missouri,1637
2013,Louisiana,Nevada,1355
2013,Louisiana,New Jersey,2373
2013,Louisiana,New York,4278
2013,Louisiana,North Carolina,3813
2013,Louisiana,Ohio,142
2013,Louisiana,Pennsylvania,1451
2013,Louisiana,Tennessee,3228
2013,Louisiana,Texas,25134
2013,Louisiana,Utah,730
2013,Louisiana,Virginia,753
2013,Louisiana,Wisconsin,720
2013,Maine,Georgia,1464
2013,Maine,Illinois,1246
2013,Maine,Maryland,1997
2013,Maine,Michigan,2883
2013,Maine,New Jersey,1540
2013,Maine,New York,2884
2013,Maine,North Carolina,730
2013,Maine,Ohio,382
2013,Maryland,Alabama,1934
2013,Maryland,Arizona,3433
2013,Maryland,Arkansas,730
2013,Maryland,California,2952
2013,Maryland,Colorado,3995
2013,Maryland,Connecticut,5200
2013,Maryland,Florida,19013
2013,Maryland,Georgia,13884
2013,Maryland,Illinois,8143
2013,Maryland,Indiana,2383
2013,Maryland,Kentucky,2773
2013,Maryland,Louisiana,1963
2013,Maryland,Maine,1997
2013,Maryland,Massachusetts,11383
2013,Maryland,Michigan,7784
2013,Maryland,Minnesota,2556
2013,Maryland,Mississippi,439
2013,Maryland,Missouri,4232
2013,Maryland,Nevada,2769
2013,Maryland,New Hampshire,5450
2013,Maryland,New Jersey,1303
2013,Maryland,New Mexico,576
2013,Maryland,New York,11226
2013,Maryland,North Carolina,10516
2013,Maryland,Ohio,6103
2013,Maryland,Oklahoma,730
2013,Maryland,Pennsylvania,2777
2013,Maryland,Rhode Island,5974
2013,Maryland,South Carolina,2727
2013,Maryland,Tennessee,4290
2013,Maryland,Texas,7785
2013,Maryland,Utah,2044
2013,Maryland,Washington,354
2013,Maryland,Wisconsin,2056
2013,Massachusetts,Arizona,2883
2013,Massachusetts,California,12746
2013,Massachusetts,Colorado,4947
2013,Massachusetts,Florida,16929
2013,Massachusetts,Georgia,10925
2013,Massachusetts,Illinois,15335
2013,Massachusetts,Indiana,22
2013,Massachusetts,Kentucky,2420
2013,Massachusetts,Louisiana,721
2013,Massachusetts,Maryland,11383
2013,Massachusetts,Massachusetts,113
2013,Massachusetts,Michigan,4560
2013,Massachusetts,Minnesota,3441
2013,Massachusetts,Missouri,2045
2013,Massachusetts,Nevada,1626
2013,Massachusetts,New Jersey,10681
2013,Massachusetts,New York,19413
2013,Massachusetts,North Carolina,11035
2013,Massachusetts,Ohio,1755
2013,Massachusetts,Oregon,1172
2013,Massachusetts,Pennsylvania,13337
2013,Massachusetts,South Carolina,709
2013,Massachusetts,Tennessee,1511
2013,Massachusetts,Texas,10802
2013,Massachusetts,Utah,1175
2013,Massachusetts,Virginia,20452
2013,Massachusetts,Washington,2726
