YEAR,MONTH,STATE,TOTAL_FLIGHTS
2013,9,Colorado,18849,0
2013,9,Connecticut,1739,0
2013,9,Delaware,60,0
2013,9,Florida,7711,0
2013,9,Georgia,32059,0
2013,9,Hawaii,4138,0
2013,9,Idaho,863,0
2013,9,Illinois,25235,0
2013,9,Indiana,2416,0
2013,9,Iowa,1293,0
2013,9,Kansas,996,0
2013,9,Kentucky,3257,0
2013,9,Louisiana,3315,0
2013,9,Maine,625,0
2013,9,Maryland,7981,0
2013,9,Massachussets,9293,0
2013,9,Michigan,13242,0
2013,9,Minnesota,11974,0
2013,9,Mississippi,728,0
2013,9,Missouri,4542,0
2013,9,Montana,381,0
2013,9,Nebraska,1796,0
2013,9,Nevada,11426,0
2013,9,New Hampshire,800,0
2013,9,New Jersey,9550,0
2013,9,New Mexico,0
2013,9,New York,10900,0
2013,9,North Carolina,12234,0
2013,9,North Dakota,564,0
2013,9,Ohio,3722,0
2013,9,Oklahoma,1833,0
2013,9,Oregon,4629,0
2013,9,Pennsylvania,6460,0
2013,9,Rhode Island,1232,0
2013,9,South Carolina,1356,0
2013,9,South Dakota,612,0
2013,9,Tennessee,4824,0
2013,9,Texas,23220,0
2013,9,Utah,9143,0
2013,9,Vermont,379,0
2013,9,Virginia,5922,0
2013,9,Washington,8963,0
2013,9,West Virginia,304,0
2013,9,Wisconsin,2811,0
2013,9,Wyoming,290,0
2013,10,Alabama,1439,0
2013,10,Alaska,1406,0
2013,10,Arizona,14649,0
2013,10,Arkansas,1326,0
2013,10,California,18971,0
2013,10,Colorado,19408,0
2013,10,Connecticut,1847,0
2013,10,Delaware,49,0
2013,10,Florida,8582,0
2013,10,Georgia,33816,0
2013,10,Hawaii,4175,0
2013,10,Idaho,868,0
2013,10,Illinois,26523,0
2013,10,Indiana,2613,0
2013,10,Iowa,1466,0
2013,10,Kansas,985,0
2013,10,Kentucky,3426,0
2013,10,Louisiana,3694,0
2013,10,Maine,661,0
2013,10,Maryland,8459,0
2013,10,Massachussets,9703,0
2013,10,Michigan,13945,0
2013,10,Minnesota,12696,0
2013,10,Mississippi,766,0
2013,10,Missouri,4729,0
2013,10,Montana,270,0
2013,10,Nebraska,1941,0
2013,10,Nevada,12143,0
2013,10,New Hampshire,878,0
2013,10,New Jersey,10104,0
2013,10,New Mexico,0
2013,10,New York,11298,0
2013,10,North Carolina,13321,0
2013,10,North Dakota,593,0
2013,10,Ohio,3767,0
2013,10,Oklahoma,1841,0
2013,10,Oregon,4740,0
2013,10,Pennsylvania,6716,0
2013,10,Rhode Island,1250,0
2013,10,South Carolina,1466,0
2013,10,South Dakota,664,0
2013,10,Tennessee,5189,0
2013,10,Texas,24238,0
2013,10,Utah,9262,0
2013,10,Vermont,495,0
2013,10,Virginia,6209,0
2013,10,Washington,8474,0
2013,10,West Virginia,314,0
2013,10,Wisconsin,2925,0
2013,10,Wyoming,154,0
2013,11,Alabama,1341,0
2013,11,Alaska,1269,0
2013,11,Arizona,14083,0
2013,11,Arkansas,1246,0
2013,11,California,17996,0
2013,11,Colorado,17955,0
2013,11,Connecticut,1909,0
2013,11,Delaware,53,0
2013,11,Florida,9019,0
2013,11,Georgia,31468,0
2013,11,Hawaii,4163,0
2013,11,Idaho,934,0
2013,11,Illinois,24063,0
2013,11,Indiana,2513,0
2013,11,Iowa,1275,0
2013,11,Kansas,911,0
2013,11,Kentucky,3018,0
2013,11,Louisiana,3610,0
2013,11,Maine,417,0
2013,11,Maryland,7729,0
2013,11,Massachussets,9080,0
2013,11,Michigan,12605,0
2013,11,Minnesota,11586,0
2013,11,Mississippi,723,0
2013,11,Missouri,4382,0
2013,11,Montana,209,0
2013,11,Nebraska,1798,0
2013,11,Nevada,11079,0
2013,11,New Hampshire,650,0
2013,11,New Jersey,9707,0
2013,11,New Mexico,0
2013,11,New York,10479,0
2013,11,North Carolina,12490,0
2013,11,North Dakota,549,0
2013,11,Ohio,3530,0
2013,11,Oklahoma,1848,0
2013,11,Oregon,4609,0
2013,11,Pennsylvania,6334,0
2013,11,Rhode Island,1128,0
2013,11,South Carolina,1341,0
2013,11,South Dakota,637,0
2013,11,Tennessee,4842,0
2013,11,Texas,22759,0
2013,11,Utah,8507,0
2013,11,Vermont,411,0
2013,11,Virginia,5848,0
2013,11,Washington,7989,0
2013,11,West Virginia,301,0
2013,11,Wisconsin,2802,0
2013,11,Wyoming,138,0
2013,12,Alabama,1316,0
2013,12,Alaska,1334,0
2013,12,Arizona,14689,0
2013,12,Arkansas,1184,0
2013,12,California,19052,0
2013,12,Colorado,19006,0
2013,12,Connecticut,1989,0
2013,12,Delaware,62,0
2013,12,Florida,9618,0
2013,12,Georgia,31887,0
2013,12,Hawaii,4405,0
2013,12,Idaho,940,0
2013,12,Illinois,23120,0
2013,12,Indiana,2580,0
2013,12,Iowa,1269,0
2013,12,Kansas,931,0
2013,12,Kentucky,2853,0
2013,12,Louisiana,3459,0
2013,12,Maine,469,0
2013,12,Maryland,7903,0
2013,12,Massachussets,8902,0
2013,12,Michigan,11929,0
2013,12,Minnesota,11553,0
2013,12,Mississippi,726,0
2013,12,Missouri,4571,0
2013,12,Montana,279,0
2013,12,Nebraska,1835,0
2013,12,Nevada,11111,0
2013,12,New Hampshire,654,0
2013,12,New Jersey,9922,0
2013,12,New Mexico,0
2013,12,New York,10922,0
2013,12,North Carolina,12851,0
2013,12,North Dakota,576,0
2013,12,Ohio,3618,0
2013,12,Oklahoma,1880,0
2013,12,Oregon,4726,0
2013,12,Pennsylvania,6382,0
2013,12,Rhode Island,1142,0
