x,y,value
2013,West Virginia ,2891
2016,West Virginia ,4751
2015,Wisconsin     ,82899
2014,Wisconsin     ,50498
2017,Wisconsin     ,46095
2013,Wisconsin     ,58210
2016,Wisconsin     ,77781
2015,Wyoming       ,12063
2014,Wyoming       ,9781
2017,Wyoming       ,7292
2013,Wyoming       ,9589
2016,Wyoming       ,8355
