x_year,y_state,value
2015,Connecticut,35939
2015,Delaware,164
2015,Florida,137269
2015,Georgia,193685
2015,Hawaii,40143
2015,Idaho,11842
2015,Illinois,538617
2015,Indiana,27849
2015,Iowa,7823
2015,Kansas,8198
2015,Kentucky,54773
2015,Louisiana,88919
2015,Maine,1410
2015,Maryland,151243
2015,Massachusetts,196694
2015,Michigan,214079
2015,Minnesota,202104
2015,Mississippi,17557
2015,Missouri,125708
2015,Montana,8877
2015,Nebraska,36644
2015,Nevada,80801
2015,New Hampshire,12142
2015,New Jersey,180063
2015,New Mexico,17065
2015,New York,290589
2015,North Carolina,219373
2015,North Dakota,23098
2015,Ohio,34832
2015,Oklahoma,43714
2015,Oregon,32261
2015,Pennsylvania,152157
2015,Rhode Island,21598
2015,South Carolina,37427
2015,South Dakota,15771
2015,Tennessee,110975
2015,Texas,202975
2015,Utah,72103
2015,Vermont,6587
2015,Virginia,186789
2015,Washington,203750
2015,West Virginia,4844
2015,Wisconsin,82899
2015,Wyoming,12063
2016,Alabama,29403
2016,Alaska,33225
2016,Arizona,255582
2016,Arkansas,19590
2016,California,608666
2016,Colorado,353853
2016,Connecticut,34860
2016,Florida,433509
2016,Georgia,541134
2016,Hawaii,72931
2016,Idaho,31732
2016,Illinois,437198
2016,Indiana,58230
2016,Iowa,19342
2016,Kansas,15345
2016,Kentucky,40803
2016,Louisiana,87374
2016,Maine,12933
2016,Maryland,152074
2016,Massachusetts,201466
2016,Michigan,207633
2016,Minnesota,205998
2016,Mississippi,12559
2016,Missouri,127088
2016,Montana,21044
2016,Nebraska,35416
2016,Nevada,244391
2016,New Hampshire,11938
2016,New Jersey,181197
2016,New Mexico,13939
2016,New York,259603
2016,North Carolina,217390
2016,North Dakota,15719
2016,Ohio,87485
2016,Oklahoma,38514
2016,Oregon,97630
2016,Pennsylvania,148649
2016,Rhode Island,22690
2016,South Carolina,39915
2016,South Dakota,11693
2016,Tennessee,107283
2016,Texas,461378
2016,Utah,165323
2016,Vermont,7983
2016,Virginia,180951
2016,Washington,218771
2016,West Virginia,4398
2016,Wisconsin,76416
2016,Wyoming,12278
2017,Alabama,26205
2017,Alaska,32840
2017,Arizona,247216
2017,Arkansas,16828
2017,California,620420
2017,Colorado,351681
2017,Connecticut,37647
2017,Florida,447729
2017,Georgia,518263
2017,Hawaii,74746
2017,Idaho,34087
2017,Illinois,461560
2017,Indiana,59782
2017,Iowa,21677
2017,Kansas,16963
2017,Kentucky,45471
2017,Louisiana,89609
2017,Maine,12627
2017,Maryland,158351
2017,Massachusetts,208492
2017,Michigan,212619
2017,Minnesota,215430
2017,Mississippi,10546
2017,Missouri,128095
2017,Montana,22017
2017,Nebraska,37807
2017,Nevada,245454
2017,New Hampshire,10961
2017,New Jersey,180567
2017,New Mexico,14236
2017,New York,250740
2017,North Carolina,216781
2017,North Dakota,12967
2017,Ohio,87676
2017,Oklahoma,36486
2017,Oregon,107205
2017,Pennsylvania,152122
2017,Rhode Island,24743
2017,South Carolina,37942
2017,South Dakota,12280
2017,Tennessee,110944
2017,Texas,445745
2017,Utah,61638
2017,Vermont,6534
2017,Virginia,178432
2017,Washington,226332
2017,West Virginia,3372
2017,Wisconsin,75140
2017,Wyoming,10800
