STATE,YEAR,TOTAL_FLIGHTS
New York      ,2017,158804
North Carolina,2013,140413
North Carolina,2014,113601
North Carolina,2015,109477
North Carolina,2016,111535
North Carolina,2017,108569
North Dakota  ,2013,19113
North Dakota  ,2014,14594
North Dakota  ,2015,16878
North Dakota  ,2016,11745
North Dakota  ,2017,9972
Ohio          ,2013,69065
Ohio          ,2014,58880
Ohio          ,2015,62239
Ohio          ,2016,53424
Ohio          ,2017,55199
Oklahoma      ,2013,31529
Oklahoma      ,2014,28845
Oklahoma      ,2015,25929
Oklahoma      ,2016,22821
Oklahoma      ,2017,21668
Oregon        ,2013,37249
Oregon        ,2014,36485
Oregon        ,2015,35015
Oregon        ,2016,39203
Oregon        ,2017,44651
Pennsylvania  ,2013,94978
Pennsylvania  ,2014,79297
Pennsylvania  ,2015,80042
Pennsylvania  ,2016,78168
Pennsylvania  ,2017,82680
Rhode Island  ,2013,11781
Rhode Island  ,2014,9137
Rhode Island  ,2015,9442
Rhode Island  ,2016,10003
Rhode Island  ,2017,10990
South Carolina,2013,30020
South Carolina,2014,21536
South Carolina,2015,24403
South Carolina,2016,25645
South Carolina,2017,24697
South Dakota  ,2013,12121
South Dakota  ,2014,11419
South Dakota  ,2015,9995
South Dakota  ,2016,7971
South Dakota  ,2017,8323
Tennessee     ,2013,79829
Tennessee     ,2014,58911
Tennessee     ,2015,58918
Tennessee     ,2016,56958
Tennessee     ,2017,57196
Texas         ,2013,347541
Texas         ,2014,333818
Texas         ,2015,330034
Texas         ,2016,293163
Texas         ,2017,287047
Utah          ,2013,60095
Utah          ,2014,59157
Utah          ,2015,59435
Utah          ,2016,60301
Utah          ,2017,61638
Vermont       ,2013,4576
Vermont       ,2014,3400
Vermont       ,2015,3261
Vermont       ,2016,3937
Vermont       ,2017,3262
Virginia      ,2013,131727
Virginia      ,2014,112522
Virginia      ,2015,106176
Virginia      ,2016,105309
Virginia      ,2017,106237
Washington    ,2013,73275
Washington    ,2014,74947
Washington    ,2015,82463
Washington    ,2016,91074
Washington    ,2017,94574
West Virginia ,2013,2891
West Virginia ,2014,2568
West Virginia ,2015,2235
West Virginia ,2016,2199
West Virginia ,2017,1717
Wisconsin     ,2013,58210
Wisconsin     ,2014,50498
Wisconsin     ,2015,50432
Wisconsin     ,2016,45206
Wisconsin     ,2017,46095
Wyoming       ,2013,9589
Wyoming       ,2014,9781
Wyoming       ,2015,8394
Wyoming       ,2016,8355
Wyoming       ,2017,7292
